ipsrc,ipdst,portdst,proto,action,date,regle
156.84.146.57,156.160.4.175,80,TCP,Permit,16/02/2020 08:20,26
156.84.146.50,156.84.20.252,80,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,80,TCP,Permit,16/02/2020 08:20,35
156.84.146.83,156.160.4.91,8080,TCP,Permit,16/02/2020 08:20,26
156.84.146.50,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.33,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.33,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.30.37,156.84.146.10,53,UDP,Permit,16/02/2020 08:20,175
156.84.30.37,194.145.4.35,389,UDP,Permit,16/02/2020 08:20,26
156.84.20.252,156.227.148.201,3128,TCP,Permit,16/02/2020 08:20,26
156.84.146.33,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,80,TCP,Permit,16/02/2020 08:20,35
156.84.146.33,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.33,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.33,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.33,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.57,156.160.4.175,80,TCP,Permit,16/02/2020 08:20,26
156.84.146.50,156.84.20.252,80,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.20.252,156.227.148.201,3128,TCP,Permit,16/02/2020 08:20,26
156.84.20.252,156.227.148.201,3128,TCP,Permit,16/02/2020 08:20,26
156.84.20.252,156.227.148.201,3128,TCP,Permit,16/02/2020 08:20,26
156.84.20.252,156.227.148.201,3128,TCP,Permit,16/02/2020 08:20,26
156.84.146.50,156.84.20.252,80,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,80,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.108,144.129.4.175,80,TCP,Permit,16/02/2020 08:20,26
156.84.146.50,156.84.20.252,80,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.61,156.70.48.240,80,TCP,Permit,16/02/2020 08:20,26
156.84.146.50,156.84.20.252,80,TCP,Permit,16/02/2020 08:20,35
156.84.146.191,144.128.4.175,80,TCP,Permit,16/02/2020 08:20,26
156.84.146.50,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.59,156.144.104.28,443,TCP,Permit,16/02/2020 08:20,26
156.84.146.50,156.84.20.252,80,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.57,156.160.4.175,80,TCP,Permit,16/02/2020 08:20,26
156.84.146.80,156.70.48.240,80,TCP,Permit,16/02/2020 08:20,26
156.84.146.64,156.70.48.240,80,TCP,Permit,16/02/2020 08:20,26
156.84.146.50,156.84.20.252,80,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.33,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.33,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.20.252,156.227.148.201,3128,TCP,Permit,16/02/2020 08:20,26
156.84.20.252,156.227.148.201,3128,TCP,Permit,16/02/2020 08:20,26
156.84.20.252,156.227.148.201,3128,TCP,Permit,16/02/2020 08:20,26
156.84.146.50,156.84.20.252,80,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.33,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.20.252,156.227.148.201,3128,TCP,Permit,16/02/2020 08:20,26
156.84.146.72,156.70.48.240,80,TCP,Permit,16/02/2020 08:20,26
156.84.146.191,144.128.4.175,80,TCP,Permit,16/02/2020 08:20,26
156.84.146.57,156.160.4.175,80,TCP,Permit,16/02/2020 08:20,26
156.84.146.50,156.84.20.252,80,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.33,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,80,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.108,144.129.4.175,80,TCP,Permit,16/02/2020 08:20,26
156.84.146.194,156.160.4.91,8080,TCP,Permit,16/02/2020 08:20,26
156.84.146.33,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.127,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,80,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.35,156.160.4.175,80,TCP,Permit,16/02/2020 08:20,26
156.84.20.252,156.227.148.201,3128,TCP,Permit,16/02/2020 08:20,26
156.84.146.50,156.84.20.252,80,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.57,156.160.4.91,8080,TCP,Permit,16/02/2020 08:20,26
156.84.146.33,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.191,144.128.4.175,80,TCP,Permit,16/02/2020 08:20,26
156.84.146.50,156.84.20.252,80,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.20.252,156.227.148.201,3128,TCP,Permit,16/02/2020 08:20,26
156.84.146.57,156.160.4.91,8080,TCP,Permit,16/02/2020 08:20,26
156.84.146.191,156.160.4.182,80,TCP,Permit,16/02/2020 08:20,26
156.84.146.50,156.84.20.252,80,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.33,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.33,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.33,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.33,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.20.252,156.227.148.201,3128,TCP,Permit,16/02/2020 08:20,26
156.84.20.252,156.227.148.201,3128,TCP,Permit,16/02/2020 08:20,26
156.84.146.50,156.84.20.252,80,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.35,156.160.4.175,80,TCP,Permit,16/02/2020 08:20,26
156.84.146.38,156.18.4.20,443,TCP,Permit,16/02/2020 08:20,26
156.84.146.33,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.20.252,156.227.148.201,3128,TCP,Permit,16/02/2020 08:20,26
156.84.146.50,156.84.20.252,80,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.33,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.20.252,156.227.148.201,3128,TCP,Permit,16/02/2020 08:20,26
156.84.146.50,156.84.20.252,80,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
157.84.8.11,157.8.146.97,5060,UDP,Permit,16/02/2020 08:20,106
156.84.146.50,156.84.20.252,80,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,80,TCP,Permit,16/02/2020 08:20,35
156.84.146.75,156.85.3.33,13000,TCP,Deny,16/02/2020 08:20,34
156.84.146.50,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.35,156.160.4.175,80,TCP,Permit,16/02/2020 08:20,26
156.84.146.50,156.84.20.252,80,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.131,156.144.104.28,443,TCP,Permit,16/02/2020 08:20,26
156.84.146.50,156.84.20.252,80,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,80,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,80,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
157.84.8.11,157.8.146.95,5060,UDP,Permit,16/02/2020 08:20,106
156.84.146.35,156.160.4.175,80,TCP,Permit,16/02/2020 08:20,26
156.84.146.50,156.84.20.252,80,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.183,156.160.4.175,80,TCP,Permit,16/02/2020 08:20,26
156.84.146.50,156.84.20.252,80,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.193,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,80,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.108,144.129.4.175,80,TCP,Permit,16/02/2020 08:20,26
156.84.146.50,156.84.20.252,80,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,3128,TCP,Permit,16/02/2020 08:20,35
156.84.146.50,156.84.20.252,80,TCP,Permit,16/02/2020 08:20,35
